ID,机型名称,releaseDate,processor,ram,chipPerformance,gpuPerformance,display,screenBrightness,camera,faceTimeCamera,battery,batteryLife,charging,wireless,storage,price,dimensions,weight,os,connectivity,蓝牙,cellularFeatures,satelliteFeatures,colors,materials,waterResistance,security,sensors,ports,audioFeatures,扬声器数量,麦克风数量,WiFi标准,modelIdentifier,baseband,techSpecs,marketingSlogan
iphone-12-pro-max,iPhone 12 Pro Max,2020年10月,A14 仿生 (2P+4E+4GPU),6GB LPDDR4X,单核跑分：2122，多核跑分：4965,16230,6.7英寸 Super Retina XDR OLED，2778×1284 分辨率，458ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素主摄 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.2光圈，2.5倍光学变焦),1200万像素，f/2.2光圈,3687 mAh (14.13Wh)，最长视频播放时间20小时,视频播放：最长20小时，流媒体：最长12小时，音频播放：最长80小时,最高20W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,9299元起（发布价）,78.1×160.8×7.4mm,228 g,iOS 14，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，NFC，超宽带,,双卡双待，支持5G,无,石墨色、银色、金色、海蓝色,不锈钢中框，前后双面玻璃,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone13,4",Qualcomm X55M,https://support.apple.com/kb/SP832,Pro 摄影，Pro 视频，Pro 强大。
iphone-se-2,iPhone SE (第2代),2020年4月,A13 仿生 (2P+4E+4GPU),3GB LPDDR4X,单核跑分：1670，多核跑分：3034,12759,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,最大亮度：625尼特,1200万像素主摄 (f/1.8光圈),700万像素，f/2.2光圈,1821 mAh (6.96Wh)，最长视频播放时间13小时,视频播放：最长13小时，流媒体：最长8小时，音频播放：最长40小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,3299元起（发布价）,67.3×138.4×7.3mm,148 g,iOS 13，可升级至iOS 17及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,4G LTE，单卡,无,黑色、白色、红色,铝合金中框，前后玻璃面板,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,8",Intel XMM7660,https://support.apple.com/kb/SP820,称心称手，超值入手
iphone-11,iPhone 11,2019年9月,A13 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1705，多核跑分：3668,13595,6.1英寸 Liquid Retina LCD，1792×828 分辨率，326ppi，60Hz,最大亮度：625尼特,1200万像素广角 (f/1.8光圈) + 1200万像素超广角 (f/2.4光圈),1200万像素，f/2.2光圈，支持4K@60fps录制,3110 mAh (11.91Wh)，最长视频播放时间17小时,视频播放：最长17小时，流媒体视频：最长10小时，音频播放：最长65小时,最高18W有线快充，可在30分钟内充至50%电量，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,5499元起（发布价）,150.9 x 75.7 x 8.3 mm,194 g,iOS 13（可升级至iOS 17）,"4G LTE, Wi-Fi 6, 蓝牙 5.0, 超宽带, NFC",,4G LTE，支持双卡双待,无,黑色、白色、红色、黄色、绿色、紫色,铝合金中框，强化玻璃前后面板,IP68，水下2米深处可达30分钟,Face ID,Face ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，支持杜比全景声,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,1",Intel XMM 7660,https://support.apple.com/kb/SP804,新一代iPhone，让你大开眼界。
iphone-11-pro,iPhone 11 Pro,2019年9月,A13 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1714，多核跑分：3823,13595,5.8英寸 Super Retina XDR OLED，2436×1125 分辨率，458ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素广角 (f/1.8光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.0光圈，2倍光学变焦),1200万像素，f/2.2光圈,3046 mAh (11.67Wh)，最长视频播放时间18小时,视频播放：最长18小时，流媒体：最长11小时，音频播放：最长65小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,8699元起（发布价）,71.4×144×8.1mm,188 g,iOS 13，可升级至iOS 17及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,午夜绿色、太空灰色、银色、金色,不锈钢中框，前后双面玻璃，背面磨砂玻璃,IP68，水下4米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,3",Intel XMM7660,https://support.apple.com/kb/SP805,Pro 级，就是 Pro。
iphone-11-pro-max,iPhone 11 Pro Max,2019年9月,A13 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1724，多核跑分：3873,13595,6.5英寸 Super Retina XDR OLED，2688×1242 分辨率，458ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素广角 (f/1.8光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.0光圈，2倍光学变焦),1200万像素，f/2.2光圈,3969 mAh (15.04Wh)，最长视频播放时间20小时,视频播放：最长20小时，流媒体：最长12小时，音频播放：最长80小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,9599元起（发布价）,77.8×158×8.1mm,226 g,iOS 13，可升级至iOS 17及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,午夜绿色、太空灰色、银色、金色,不锈钢中框，前后双面玻璃，背面磨砂玻璃,IP68，水下4米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,5",Intel XMM7660,https://support.apple.com/kb/SP806,Pro 级，就是 Pro。
iphone-xr,iPhone XR,2018年10月,A12 仿生 (2P+4E+4GPU),3GB LPDDR4X,单核跑分：1250，多核跑分：2273,8245,6.1英寸 Liquid Retina LCD，1792×828 分辨率，326ppi，60Hz,标准亮度：625尼特,1200万像素广角 (f/1.8光圈),700万像素，f/2.2光圈，支持1080p@60fps录制,2942 mAh (11.16Wh)，最长视频播放时间16小时,视频播放：最长16小时，流媒体视频：最长13小时，音频播放：最长65小时,最高18W有线快充，可在30分钟内充至50%电量，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,6499元起（发布价）,150.9 x 75.7 x 8.3 mm,194 g,iOS 12（可升级至iOS 16）,"4G LTE, Wi-Fi 5, 蓝牙 5.0, NFC",,4G LTE，单卡,无,黑色、白色、红色、黄色、珊瑚色、蓝色,铝合金中框，强化玻璃前后面板,IP67，水下1米深处可达30分钟,Face ID,Face ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone11,8",Intel XMM 7560,https://support.apple.com/kb/SP781,创新，再一次。
iphone-xs,iPhone XS,2018年9月,A12 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1286，多核跑分：2660,8287,5.8英寸 Super Retina HD OLED，2436×1125 分辨率，458ppi，60Hz,最大亮度：625尼特，HDR峰值亮度：1000尼特,1200万像素广角 (f/1.8光圈) + 1200万像素长焦 (f/2.4光圈，2倍光学变焦),700万像素，f/2.2光圈,2658 mAh (10.13Wh)，最长视频播放时间14小时,视频播放：最长14小时，流媒体：最长10小时，音频播放：最长60小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,8699元起（发布价）,70.9×143.6×7.7mm,177 g,iOS 12，可升级至iOS 16,Wi-Fi 5，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,金色、银色、深空灰色,不锈钢中框，前后双面玻璃,IP68，水下2米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，4个麦克风,2,4,802.11ac 2x2 MIMO,"iPhone11,2",Intel XMM7560,https://support.apple.com/kb/SP779,全面屏，更强悍。
iphone-xs-max,iPhone XS Max,2018年9月,A12 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1287，多核跑分：2667,8287,6.5英寸 Super Retina HD OLED，2688×1242 分辨率，458ppi，60Hz,最大亮度：625尼特，HDR峰值亮度：1000尼特,1200万像素广角 (f/1.8光圈) + 1200万像素长焦 (f/2.4光圈，2倍光学变焦),700万像素，f/2.2光圈,3174 mAh (12.08Wh)，最长视频播放时间15小时,视频播放：最长15小时，流媒体：最长13小时，音频播放：最长65小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,9599元起（发布价）,77.4×157.5×7.7mm,208 g,iOS 12，可升级至iOS 16,Wi-Fi 5，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,金色、银色、深空灰色,不锈钢中框，前后双面玻璃,IP68，水下2米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，4个麦克风,2,4,802.11ac 2x2 MIMO,"iPhone11,6",Intel XMM7560,https://support.apple.com/kb/SP780,全面屏，更强悍。更全面。
iphone-x,iPhone X,2017年11月,A11 仿生 (2P+4E+3GPU),3GB LPDDR4X,单核跑分：1055，多核跑分：2054,8287,5.8英寸 Super Retina OLED，2436×1125 分辨率，458ppi，60Hz,最大亮度：625尼特，HDR峰值亮度：1000尼特,1200万像素广角 (f/1.8光圈) + 1200万像素长焦 (f/2.4光圈，2倍光学变焦),700万像素，f/2.2光圈，支持1080p@30fps录制,2716 mAh (10.35Wh)，最长视频播放时间13小时,视频播放：最长13小时，流媒体视频：最长12小时，音频播放：最长60小时,最高18W有线快充，可在30分钟内充至50%电量，7.5W Qi无线充电,Qi无线充电,64GB / 256GB,8388元起（发布价）,143.6 x 70.9 x 7.7 mm,174 g,iOS 11（可升级至iOS 16）,"4G LTE, Wi-Fi 5, 蓝牙 5.0, NFC",,4G LTE，单卡,无,银色、深空灰色,不锈钢中框，强化玻璃前后面板,IP67，水下1米深处可达30分钟,Face ID,Face ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,3,802.11ac 2x2 MIMO,"iPhone10,3 / iPhone10,6",Qualcomm MDM9655 / Intel XMM 7480,https://support.apple.com/kb/SP770,你好，未来。
iphone-8-plus,iPhone 8 Plus,2017年9月22日,A11 仿生 (2P+4E+3GPU),3GB LPDDR4X,单核跑分：1058，多核跑分：2271,5318,5.5英寸 Retina HD LCD，1920×1080 分辨率，401ppi，60Hz,最大亮度：625尼特,双1200万像素主摄 (f/1.8光圈) + 长焦 (f/2.8光圈，2倍光学变焦),700万像素，f/2.2光圈,2691 mAh (10.28Wh)，最长视频播放时间14小时,视频播放：最长14小时，音频播放：最长60小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,6688元起（发布价）,78.1×158.4×7.5mm,202 g,iOS 11，可升级至iOS 16.6.1,"4G LTE, Wi-Fi 5, 蓝牙 5.0, NFC",,4G LTE，单卡,无,金色、银色、深空灰色、红色,铝合金中框，前后玻璃面板,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ac 2x2 MIMO,"iPhone10,2 / iPhone10,5",Intel XMM7480 / Qualcomm X16,https://support.apple.com/kb/SP768,一个全新的高度。
iphone-8,iPhone 8,2017年9月,A11 仿生 (2P+4E+3GPU),2GB LPDDR4X,单核跑分：1034，多核跑分：1697,5318,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,最大亮度：625尼特,1200万像素主摄 (f/1.8光圈),700万像素，f/2.2光圈,1821 mAh (6.96Wh)，最长视频播放时间13小时,视频播放：最长13小时，音频播放：最长40小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,5888元起（发布价）,67.3×138.4×7.3mm,148 g,iOS 11，可升级至iOS 15,Wi-Fi 5，蓝牙5.0，NFC,,4G LTE，单卡,无,金色、银色、深空灰色、红色,铝合金中框，前后玻璃面板,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ac 2x2 MIMO,"iPhone10,1 / iPhone10,4",Intel XMM7480 / Qualcomm X16,https://support.apple.com/kb/SP767,一个全新的高度。
iphone-7,iPhone 7,2016年9月,A10 Fusion (2P+2E+6GPU),2GB LPDDR4,单核跑分：786，多核跑分：963,3851,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,标准亮度：625尼特,1200万像素广角 (f/1.8光圈，光学防抖),700万像素，f/2.2光圈，支持1080p@30fps录制,1960 mAh (7.45Wh)，最长视频播放时间13小时,视频播放：最长13小时，音频播放：最长40小时，使用无线外设时的通话时间：最长14小时,5W有线充电,不支持无线充电,32GB / 128GB / 256GB,5388元起（发布价）,138.3 x 67.1 x 7.1 mm,138 g,iOS 10（可升级至iOS 15）,"4G LTE, Wi-Fi 5, 蓝牙 4.2, NFC（仅限Apple Pay）",,4G LTE，单卡,无,黑色、亮黑色、金色、玫瑰金色、银色、红色,铝合金一体化设计，前后玻璃面板,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，取消3.5mm耳机接口,2,4,802.11ac 2x2 MIMO,"iPhone9,1 / iPhone9,3",Qualcomm MDM9645M / Intel PMB9943,https://support.apple.com/kb/SP743,这，就是7。
iphone-7-plus,iPhone 7 Plus,2016年9月,A10 Fusion (2P+2E+6GPU),3GB LPDDR4,单核跑分：816，多核跑分：1156,3851,5.5英寸 Retina HD LCD，1920×1080 分辨率，401ppi，60Hz,最大亮度：625尼特,1200万像素广角 (f/1.8光圈) + 1200万像素长焦 (f/2.8光圈，2倍光学变焦),700万像素，f/2.2光圈,2900 mAh (11.10Wh)，最长视频播放时间14小时,视频播放：最长14小时，音频播放：最长60小时,5W有线充电,不支持无线充电,32GB / 128GB / 256GB,6388元起（发布价）,77.9×158.2×7.3mm,188 g,iOS 10，可升级至iOS 15,Wi-Fi 5，蓝牙4.2，NFC（仅限Apple Pay）,,4G LTE，单卡,无,黑色、亮黑色、金色、玫瑰金色、银色、红色,铝合金机身,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ac 2x2 MIMO,"iPhone9,2 / iPhone9,4",Intel XMM7360 / Qualcomm X12,https://support.apple.com/kb/SP744,这，就是7。
iphone-se,iPhone SE (第1代),2016年3月,A9 (2P+4GPU),2GB LPDDR4,无,无,4英寸 Retina IPS LCD，1136×640 分辨率，326ppi，60Hz,最大亮度：500尼特,1200万像素主摄 (f/2.2光圈),120万像素，f/2.4光圈,1624 mAh (6.21Wh)，最长视频播放时间13小时,视频播放：最长13小时，音频播放：最长50小时,5W有线充电,不支持无线充电,16GB / 32GB / 64GB / 128GB,3288元起（发布价）,58.6×123.8×7.6mm,113 g,iOS 9.3，可升级至iOS 14,Wi-Fi 5，蓝牙4.2，NFC（仅限Apple Pay）,,4G LTE，单卡,无,深空灰色、银色、金色、玫瑰金色,铝合金机身,无官方防水等级,Touch ID（第1代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,Lightning接口，3.5mm耳机接口,单扬声器,1,3,802.11ac,"iPhone8,4",Qualcomm MDM9635,https://support.apple.com/kb/SP738,一小步的一大步
iphone-6s,iPhone 6s,2015年9月,A9 (2P+6GPU),2GB LPDDR4,单核跑分：605，多核跑分：876,2848,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,最大亮度：500尼特,1200万像素主摄 (f/2.2光圈),500万像素，f/2.2光圈,1715 mAh (6.55Wh)，最长视频播放时间11小时,视频播放：最长11小时，音频播放：最长50小时,5W有线充电,不支持无线充电,16GB / 32GB / 64GB / 128GB,5288元起（发布价）,67.1×138.3×7.1mm,143 g,iOS 9，可升级至iOS 15,Wi-Fi 5，蓝牙4.2，NFC（仅限Apple Pay）,,4G LTE，单卡,无,深空灰色、银色、金色、玫瑰金色,7000系列铝合金机身,无官方防水等级,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口，3.5mm耳机接口,单扬声器,1,4,802.11ac 2x2 MIMO,"iPhone8,1",Qualcomm MDM9635,https://support.apple.com/kb/SP726,唯一改变的，是一切。
iphone-6s-plus,iPhone 6s Plus,2015年9月,A9 (2P+6GPU),2GB LPDDR4,单核跑分：602，多核跑分：857,2848,5.5英寸 Retina HD LCD，1920×1080 分辨率，401ppi，60Hz,最大亮度：500尼特,1200万像素主摄 (f/2.2光圈),500万像素，f/2.2光圈,2750 mAh (10.45Wh)，最长视频播放时间14小时,视频播放：最长14小时，音频播放：最长80小时,5W有线充电,不支持无线充电,16GB / 32GB / 64GB / 128GB,6288元起（发布价）,77.9×158.2×7.3mm,192 g,iOS 9，可升级至iOS 15,Wi-Fi 5，蓝牙4.2，NFC（仅限Apple Pay）,,4G LTE，单卡,无,深空灰色、银色、金色、玫瑰金色,7000系列铝合金机身,无官方防水等级,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口，3.5mm耳机接口,单扬声器,1,4,802.11ac 2x2 MIMO,"iPhone8,2",Qualcomm MDM9635,https://support.apple.com/kb/SP727,唯一改变的，是一切。
iphone-6,iPhone 6,2014年9月,A8 (2P+4GPU),1GB LPDDR3,无,无,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,最大亮度：500尼特,800万像素主摄 (f/2.2光圈),120万像素，f/2.2光圈,1810 mAh (6.91Wh)，最长视频播放时间11小时,视频播放：最长11小时，音频播放：最长50小时,5W有线充电,不支持无线充电,16GB / 32GB / 64GB / 128GB,5288元起（发布价）,67×138.1×6.9mm,129 g,iOS 8，可升级至iOS 12,Wi-Fi 5，蓝牙4.0，NFC（仅限Apple Pay）,,4G LTE，单卡,无,深空灰色、银色、金色,铝合金机身,无官方防水等级,Touch ID（第1代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口，3.5mm耳机接口,单扬声器,1,3,802.11a/b/g/n/ac,"iPhone7,2",Qualcomm MDM9625,https://support.apple.com/kb/SP705,纤薄，更有力量。
iphone-6-plus,iPhone 6 Plus,2014年9月,A8 (2P+4GPU),1GB LPDDR3,无,无,5.5英寸 Retina HD LCD，1920×1080 分辨率，401ppi，60Hz,最大亮度：500尼特,800万像素主摄 (f/2.2光圈),120万像素，f/2.2光圈,2915 mAh (11.1Wh)，最长视频播放时间14小时,视频播放：最长14小时，音频播放：最长80小时,5W有线充电,不支持无线充电,16GB / 64GB / 128GB,6088元起（发布价）,77.8×158.1×7.1mm,172 g,iOS 8，可升级至iOS 12,Wi-Fi 5，蓝牙4.0，NFC（仅限Apple Pay）,,4G LTE，单卡,无,深空灰色、银色、金色,铝合金机身,无官方防水等级,Touch ID（第1代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口，3.5mm耳机接口,单扬声器,1,3,802.11a/b/g/n/ac,"iPhone7,1",Qualcomm MDM9625,https://support.apple.com/kb/SP706,纤薄，更有力量。
iphone-5s,iPhone 5s,2013年9月,A7 (2P+4GPU),1GB LPDDR3,无,无,4英寸 Retina IPS LCD，1136×640 分辨率，326ppi，60Hz,最大亮度：500尼特,800万像素主摄 (f/2.2光圈),120万像素，f/2.4光圈,1560 mAh (5.92Wh)，最长视频播放时间10小时,视频播放：最长10小时，音频播放：最长40小时,5W有线充电,不支持无线充电,16GB / 32GB / 64GB,5288元起（发布价）,58.6×123.8×7.6mm,112 g,iOS 7，可升级至iOS 12,Wi-Fi 5，蓝牙4.0,,4G LTE，单卡,无,深空灰色、银色、金色,铝合金机身,无官方防水等级,Touch ID（第1代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,Lightning接口，3.5mm耳机接口,单扬声器,1,3,802.11a/b/g/n,"iPhone6,1 / iPhone6,2",Qualcomm MDM9615,https://support.apple.com/kb/SP685,前所未有。
iphone-5c,iPhone 5c,2013年9月,A6 (2P+3GPU),1GB LPDDR2,无,无,4英寸 Retina IPS LCD，1136×640 分辨率，326ppi，60Hz,最大亮度：500尼特,800万像素主摄 (f/2.4光圈),120万像素，f/2.4光圈,1510 mAh (5.73Wh)，最长视频播放时间10小时,视频播放：最长10小时，音频播放：最长40小时,5W有线充电,不支持无线充电,8GB / 16GB / 32GB,4488元起（发布价）,59.2×124.4×8.97mm,132 g,iOS 7，可升级至iOS 10,Wi-Fi 5，蓝牙4.0,,4G LTE，单卡,无,白色、粉色、黄色、蓝色、绿色,硬质聚碳酸酯机身,无官方防水等级,密码锁定,三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,Lightning接口，3.5mm耳机接口,单扬声器,1,3,802.11a/b/g/n,"iPhone5,3 / iPhone5,4",Qualcomm MDM9615,https://support.apple.com/kb/SP684,适合所有人的iPhone。
iphone-5,iPhone 5,2012年9月,A6 (2P+3GPU),1GB LPDDR2,无,无,4英寸 Retina IPS LCD，1136×640 分辨率，326ppi，60Hz,最大亮度：500尼特,800万像素主摄 (f/2.4光圈),120万像素，f/2.4光圈,1440 mAh (5.45Wh)，最长视频播放时间10小时,视频播放：最长10小时，音频播放：最长40小时,5W有线充电,不支持无线充电,16GB / 32GB / 64GB,5288元起（发布价）,58.6×123.8×7.6mm,112 g,iOS 6，可升级至iOS 10,Wi-Fi 5，蓝牙4.0,,4G LTE，单卡,无,黑色、白色,铝合金和玻璃机身,无官方防水等级,密码锁定,三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,Lightning接口，3.5mm耳机接口,单扬声器,1,3,802.11a/b/g/n,"iPhone5,1 / iPhone5,2",Qualcomm MDM9615,https://support.apple.com/kb/SP655,想象的，不只是大小。
iphone-4s,iPhone 4s,2011年10月,A5 (2P+2GPU),512MB LPDDR2,无,无,3.5英寸 Retina IPS LCD，960×640 分辨率，326ppi，60Hz,最大亮度：500尼特,800万像素主摄 (f/2.4光圈),VGA分辨率，30fps,1432 mAh (5.3Wh)，最长视频播放时间10小时,视频播放：最长10小时，音频播放：最长40小时,5W有线充电,不支持无线充电,8GB / 16GB / 32GB / 64GB,4988元起（发布价）,58.6×115.2×9.3mm,140 g,iOS 5，可升级至iOS 9,Wi-Fi 4，蓝牙4.0,,3G，支持单卡,无,黑色、白色,玻璃和不锈钢机身,无官方防水等级,密码锁定,三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,30针接口，3.5mm耳机接口,单扬声器,1,2,802.11b/g/n,"iPhone4,1",Qualcomm MDM6610,https://support.apple.com/kb/SP643,全新设计，超凡体验。
iphone-4,iPhone 4,2010年6月,A4 (1P+1GPU),512MB LPDDR,无,无,3.5英寸 Retina IPS LCD，960×640 分辨率，326ppi，60Hz,最大亮度：500尼特,500万像素主摄 (f/2.8光圈),VGA分辨率，30fps,1420 mAh (5.25Wh)，最长视频播放时间10小时,视频播放：最长10小时，音频播放：最长40小时,5W有线充电,不支持无线充电,8GB / 16GB / 32GB,4999元起（发布价）,58.6×115.2×9.3mm,137 g,iOS 4，可升级至iOS 7,Wi-Fi 4，蓝牙2.1,,3G，支持单卡,无,黑色、白色,玻璃和不锈钢机身,无官方防水等级,密码锁定,三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,30针接口，3.5mm耳机接口,单扬声器,1,2,802.11b/g/n,"iPhone3,1 / iPhone3,2 / iPhone3,3",Infineon X-Gold 618 / Qualcomm MDM6600,https://support.apple.com/kb/SP587,这改变了一切。再一次。
iphone-3gs,iPhone 3GS,2009年6月,Samsung S5PC100 (1P+1GPU),256MB LPDDR,无,无,3.5英寸 IPS LCD，480×320 分辨率，163ppi，60Hz,最大亮度：不详,300万像素主摄 (无光圈数据),不支持前置摄像头,1219 mAh (4.51Wh)，最长视频播放时间10小时,视频播放：最长10小时，音频播放：最长30小时,5W有线充电,不支持无线充电,8GB / 16GB / 32GB,4999元起（发布价）,62.1×115.5×12.3mm,135 g,iPhone OS 3，可升级至iOS 6,Wi-Fi 4，蓝牙2.1,,3G，支持单卡,无,黑色、白色,塑料后盖和铝合金边框,无官方防水等级,密码锁定,加速度传感器，接近传感器，环境光传感器，数字指南针,30针接口，3.5mm耳机接口,单扬声器,1,-,802.11b/g,"iPhone2,1",Infineon X-Gold 608,https://support.apple.com/kb/SP565,全新速度，更加智能。
iphone-3g,iPhone 3G,2008年7月,Samsung S5L8900 (1P+1GPU),128MB LPDDR,无,无,3.5英寸 IPS LCD，480×320 分辨率，163ppi，60Hz,最大亮度：不详,200万像素主摄 (无光圈数据),不支持前置摄像头,1150 mAh (4.26Wh)，最长视频播放时间7小时,视频播放：最长7小时，音频播放：最长24小时,5W有线充电,不支持无线充电,8GB / 16GB,4999元起（发布价）,62.1×115.5×12.3mm,133 g,iPhone OS 2，可升级至iOS 4,Wi-Fi 4，蓝牙2.0,,3G，支持单卡,无,黑色、白色,塑料后盖和铝合金边框,无官方防水等级,密码锁定,加速度传感器，接近传感器，环境光传感器,30针接口，3.5mm耳机接口,单扬声器,1,-,802.11b/g,"iPhone1,2",Infineon PMB8878,https://support.apple.com/kb/SP495,速度提升，价格下降。
iphone-1,iPhone (第1代),2007年6月,Samsung S5L8900 (1P+1GPU),128MB LPDDR,无,无,3.5英寸 IPS LCD，480×320 分辨率，163ppi，60Hz,最大亮度：不详,200万像素主摄 (无光圈数据),不支持前置摄像头,1400 mAh (5.18Wh)，最长视频播放时间7小时,视频播放：最长7小时，音频播放：最长24小时,5W有线充电,不支持无线充电,4GB / 8GB / 16GB,4999元起（发布价）,61×115×11.6mm,135 g,iPhone OS 1，可升级至iPhone OS 3,Wi-Fi 4，蓝牙2.0,,2G (EDGE)，支持单卡,无,黑色,铝合金后盖和塑料底部,无官方防水等级,密码锁定,加速度传感器，接近传感器，环境光传感器,30针接口，3.5mm耳机接口,单扬声器,1,-,802.11b/g,"iPhone1,1",Infineon S-Gold 2,https://support.apple.com/kb/SP2,这是只是开始。
